0371.KL,CAMAROE.KL
0372.KL,CHEEDING.KL
0373.KL,VERDANT.KL
0375.KL,THMY.KL
0376.KL,IAB.KL
0377.KL,POWER.KL
0378.KL,FAMIERA.KL
0379.KL,PMW.KL
0380.KL,AQUAWALK.KL
0381.KL,POLYMER.KL
0382.KL,FOODIE.KL
0383.KL,PSP.KL
0385.KL,BMS.KL
0386.KL,SBS.KL
0387.KL,GHS.KL
0388.KL,SEMICO.KL
0389.KL,OGM.KL
0390.KL,ISF.KL
0391.KL,AMBEST.KL
0392.KL,KEEMING.KL
0393.KL,TEAMSTR.KL
0395.KL,OGX.KL
0396.KL,ADNEX.KL
0397.KL,5ER.KL
0398.KL,GDGROUP.KL
0399.KL,AMS.KL
0450.KL,MFGROUP.KL
0451.KL,INSPACE.KL
0452.KL,GOLDLI.KL
0453.KL,EIPOWER.KL
0455.KL,BUSCAP.KL
0456.KL,MMCS.KL
0457.KL,PENTECH.KL
0458.KL,ELSA.KL
0459.KL,SUM.KL
0460.KL,HSSBAKERY.KL
0461.KL,RT.KL
1015.KL,AMBANK.KL
1023.KL,CIMB.KL
1058.KL,MANULFE.KL
1066.KL,RHBBANK.KL
1082.KL,HLFG.KL
1147.KL,GOB.KL
1155.KL,MAYBANK.KL
1163.KL,ALLIANZ.KL
1171.KL,MBSB.KL
1198.KL,MAA.KL
1287.KL,EXSIMHB.KL
1295.KL,PBBANK.KL
1368.KL,EDGENTA.KL
1481.KL,ASB.KL
1503.KL,GUOCO.KL
1538.KL,SYMLIFE.KL
1562.KL,SPTOTO.KL
1589.KL,IWCITY.KL
1619.KL,DRBHCOM.KL
1643.KL,LANDMRK.KL
1651.KL,MRCB.KL
1694.KL,MENANG.KL
1724.KL,PARAMON.KL
1818.KL,BURSA.KL
1899.KL,BKAWAN.KL
1929.KL,CHINTEK.KL
1961.KL,IOICORP.KL
1996.KL,KRETAM.KL
2038.KL,NSOP.KL
2054.KL,TDM.KL
2062.KL,HARBOUR.KL
2089.KL,UTDPLT.KL
2097.KL,MBRIGHT.KL
2127.KL,COMFORT.KL
2135.KL,GOPENG.KL
2143.KL,ECM.KL
2224.KL,SDRED.KL
2259.KL,TALAMT.KL
2283.KL,ZELAN.KL
2291.KL,GENP.KL
2305.KL,AYER.KL
2429.KL,TANCO.KL
2445.KL,KLK.KL
2453.KL,KLUANG.KL
2488.KL,ABMB.KL
2542.KL,RVIEW.KL
2569.KL,SBAGAN.KL
2593.KL,UMCCA.KL
2607.KL,INCKEN.KL
2658.KL,AJI.KL
2674.KL,ALCOM.KL
2682.KL,PARKWD.KL
2739.KL,TECHNAX.KL
2755.KL,FCW.KL
2828.KL,CIHLDG.KL
2836.KL,CARLSBG.KL
2852.KL,CMSB.KL
2984.KL,FACBIND.KL
3018.KL,OLYMPIA.KL
3026.KL,DLADY.KL
3034.KL,HAPSENG.KL
3042.KL,PETRONM.KL
3069.KL,MFCB.KL
3107.KL,FIMACOR.KL
3158.KL,YNHPROP.KL
3174.KL,L&G.KL
3182.KL,GENTING.KL
3204.KL,GKENT.KL
3239.KL,BJASSET.KL
3247.KL,GUH.KL
3255.KL,HEIM.KL
3298.KL,HEXZA.KL
3301.KL,HLIND.KL
3336.KL,IJM.KL
3379.KL,INSAS.KL
3395.KL,BJCORP.KL
3417.KL,E&O.KL
3441.KL,JOHAN.KL
3476.KL,KSENG.KL
3514.KL,MARCO.KL
3557.KL,ECOFIRS.KL
3565.KL,WCEHB.KL
3573.KL,LIENHOE.KL
3611.KL,PGLOBE.KL
3662.KL,MFLOUR.KL
3689.KL,F&N.KL
3719.KL,PANAMY.KL
3743.KL,SUNSURIA.KL
3778.KL,MELEWAR.KL
3794.KL,MCEMENT.KL
3816.KL,MISC.KL
3859.KL,MAGNUM.KL
3867.KL,MPI.KL
3883.KL,MUDA.KL
3891.KL,MUIIND.KL
3905.KL,MULPHA.KL
3913.KL,MUIPROP.KL
3948.KL,DUTALND.KL
4006.KL,ORIENT.KL
4022.KL,MAXIM.KL
4057.KL,ASIAPAC.KL
4065.KL,PPB.KL
4081.KL,PMCORP.KL
4162.KL,BAT.KL
4197.KL,SIME.KL
4219.KL,BPROP.KL
4235.KL,LIONIND.KL
4243.KL,WTK.KL
4251.KL,IBHD.KL
4286.KL,SEAL.KL
4316.KL,SHCHAN.KL
4324.KL,HENGYUAN.KL
4359.KL,TURIYA.KL
4375.KL,SMI.KL
4383.KL,JTIASA.KL
4405.KL,TCHONG.KL
4456.KL,DNEX.KL
4464.KL,PHB.KL
4502.KL,MEDIA.KL
4596.KL,SAPRES.KL
4634.KL,POS.KL
4677.KL,YTL.KL
4707.KL,NESTLE.KL
4715.KL,GENM.KL
4723.KL,JAKS.KL
4731.KL,SCIENTX.KL
4758.KL,ANCOMNY.KL
4847.KL,EPICON.KL
4863.KL,TM.KL
4995.KL,VERSATL.KL
5000.KL,HUMEIND.KL
5001.KL,MIECO.KL
5005.KL,UNISEM.KL
5006.KL,VARIA.KL
5007.KL,CHINWEL.KL
5008.KL,HARISON.KL
5009.KL,WTHORSE.KL
5010.KL,TONGHER.KL
5011.KL,MSNIAGA.KL
5012.KL,TAANN.KL
5015.KL,APM.KL
5016.KL,WARISAN.KL
5020.KL,GLOMAC.KL
5021.KL,AYS.KL
5022.KL,PAOS.KL
5024.KL,HUPSENG.KL
5025.KL,AURO.KL
5026.KL,MHC.KL
5027.KL,KMLOONG.KL
5028.KL,HTPADU.KL
5029.KL,FAREAST.KL
5031.KL,TIMECOM.KL
5032.KL,BIPORT.KL
5035.KL,KNUSFOR.KL
5036.KL,EDARAN.KL
5037.KL,COMPUGT.KL
5038.KL,KSL.KL
5040.KL,MERIDIAN.KL
5041.KL,PBA.KL
5042.KL,TSRCAP.KL
5048.KL,YB.KL
5049.KL,CVIEW.KL
5053.KL,OSK.KL
5054.KL,TRC.KL
5056.KL,ENGTEX.KL
5062.KL,HUAYANG.KL
5065.KL,ORNA.KL
5066.KL,NTPM.KL
5068.KL,LUSTER.KL
5069.KL,BLDPLNT.KL
5070.KL,PRTASCO.KL
5071.KL,COASTAL.KL
5072.KL,HIAPTEK.KL
5073.KL,NAIM.KL
5075.KL,PLENITU.KL
5077.KL,MAYBULK.KL
5078.KL,M&G.KL
5079.KL,ONEGLOVE.KL
5080.KL,POHKONG.KL
5081.KL,EIG.KL
5084.KL,IBRACO.KL
5085.KL,MUDAJYA.KL
5087.KL,MYCRON.KL
5088.KL,APEX.KL
5090.KL,MEDIAC.KL
5094.KL,CSCSTEL.KL
5095.KL,HEVEA.KL
5098.KL,MASTEEL.KL
5099.KL,CAPITALA.KL
5100.KL,BPPLAS.KL
5101.KL,EVERGRN.KL
5102.KL,GCB.KL
5104.KL,CNH.KL
5105.KL,CANONE.KL
5106.KL,AXREIT.KL
5107.KL,IQGROUP.KL
5108.KL,ICAP.KL
5109.KL,YTLREIT.KL
5110.KL,UOAREIT.KL
5111.KL,TWRREIT.KL
5112.KL,THPLANT.KL
5113.KL,RSAWIT.KL
5115.KL,ALAM.KL
5116.KL,ALAQAR.KL
5120.KL,AMFIRST.KL
5121.KL,HEKTAR.KL
5123.KL,SENTRAL.KL
5125.KL,PANTECH.KL
5126.KL,SOP.KL
5127.KL,ARREIT.KL
5129.KL,MELATI.KL
5130.KL,ATRIUM.KL
5131.KL,ZHULIAN.KL
5132.KL,DELEUM.KL
5133.KL,PENERGY.KL
5134.KL,SAB.KL
5135.KL,SWKPLNT.KL
5136.KL,HEXTECH.KL
5138.KL,HSPLANT.KL
5139.KL,AEONCR.KL
5140.KL,TASCO.KL
5141.KL,DAYANG.KL
5142.KL,WASCO.KL
5143.KL,LUXCHEM.KL
5145.KL,SEALINK.KL
5147.KL,SAMCHEM.KL
5148.KL,UEMS.KL
5149.KL,TAS.KL
5151.KL,HEXTAR.KL
5152.KL,MBL.KL
5156.KL,XDL.KL
5157.KL,SG.KL
5159.KL,YOCB.KL
5160.KL,HOMERIZ.KL
5161.KL,JCY.KL
5162.KL,VSTECS.KL
5163.KL,SEB.KL
5165.KL,DFCITY.KL
5166.KL,CYBERE.KL
5167.KL,TURBO.KL
5168.KL,HARTA.KL
5169.KL,HOHUP.KL
5171.KL,KIMLUN.KL
5172.KL,SINARAN.KL
5173.KL,SYGROUP.KL
5176.KL,SUNREIT.KL
5178.KL,INGENIEU.KL
5180.KL,CLMT.KL
5182.KL,AVALAND.KL
5183.KL,PCHEM.KL
5184.KL,CYPARK.KL
5185.KL,AFFIN.KL
5186.KL,MHB.KL
5187.KL,HBGLOB.KL
5188.KL,CNOUHUA.KL
5190.KL,BENALEC.KL
5191.KL,TAMBUN.KL
5192.KL,ECEXCEL.KL
5195.KL,CENSOF.KL
5196.KL,BJFOOD.KL
5197.KL,FLBHD.KL
5198.KL,AFUJIYA.KL
5199.KL,HIBISCS.KL
